gene,ID
bdnf,ENSDARG00000018817
crha,ENSDARG00000093401
crhb,ENSDARG00000027657
crhbp,ENSDARG00000024831
crhr1,ENSDARG00000003989
crhr2,ENSDARG00000062377
crhr2,ENSDARG00000103704
ntrk2a,ENSDARG00000059897
ntrk2b,ENSDARG00000098511
ntrk3a,ENSDARG00000077228
ntrk3b,ENSDARG00000086214
fez1,ENSDARG00000023174
yif1a,ENSDARG00000019636
tnika,ENSDARG00000056218
rbfox3a,ENSDARG00000010083
map2,ENSDARG00000055052
tbr1a,ENSDARG00000076259
neurod1,ENSDARG00000019566
mag,ENSDARG00000104023
mbpa,ENSDARG00000036186
mbpb,ENSDARG00000089413
plp1a,ENSDARG00000103732
plp1b,ENSDARG00000011929
neurog1,ENSDARG00000056130
ptprc,ENSDARG00000071437
slc1a3a,ENSDARG00000104431
gfap,ENSDARG00000025301
s100b,ENSDARG00000057598
egfl7,ENSDARG00000100657
fezf1,ENSDARG00000010270
sfrp1a,ENSDARG00000035521
sfrp1b,ENSDARG00000057678
sfrp2,ENSDARG00000070050
sfrp5,ENSDARG00000039041
sp8a,ENSDARG00000011870
nr2f1a,ENSDARG00000052695
nr2f1b,ENSDARG00000017168
shha,ENSDARG00000068567
shhb,ENSDARG00000038867
fgfr1a,ENSDARG00000011027
fgfr1b,ENSDARG00000011190
fgfr2,ENSDARG00000058115
fgfr3,ENSDARG00000004782
fgfr4,ENSDARG00000069105
fgfrl1a,ENSDARG00000032617
wnt7aa,ENSDARG00000044827
wnt7ba,ENSDARG00000022858
wnt7ab,ENSDARG00000002483
wnt7bb,ENSDARG00000071107
wnt8a,ENSDARG00000078507
wnt8b,ENSDARG00000006911
pcna,ENSDARG00000054155
elavl3,ENSDARG00000014420
elavl4,ENSDARG00000045639
fosab,ENSDARG00000031683
rps6,ENSDARG00000019778
cyp26b1,ENSDARG00000077121
ankk1,ENSDARG00000056921
bean1,ENSDARG00000087413
bsx,ENSDARG00000068976
dbx1a,ENSDARG00000086393
dlx2a,ENSDARG00000079964
dlx5a,ENSDARG00000042296
emx1,ENSDARG00000039569
emx2,ENSDARG00000039701
emx3,ENSDARG00000020417
etv1,ENSDARG00000101959
eomesa,ENSDARG00000006640
tbr1b,ENSDARG00000004712
foxa2,ENSDARG00000003411
foxb1a,ENSDARG00000089042
foxg1a,ENSDARG00000070769
foxg1c,ENSDARG00000068380
foxp1b,ENSDARG00000014181
foxp2,ENSDARG00000005453
foxp4,ENSDARG00000076120
fabp7a,ENSDARG00000007697
fabp7b,ENSDARG00000034650
gbx1,ENSDARG00000071418
gbx2,ENSDARG00000002933
grm2a,ENSDARG00000004150
grm2b,ENSDARG00000007195
irx1b,ENSDARG00000056594
isl1,ENSDARG00000004023
lef1,ENSDARG00000031894
lhx1a,ENSDARG00000014018
lhx2b,ENSDARG00000031222
lhx5,ENSDARG00000057936
lhx6,ENSDARG00000006896
lhx8a,ENSDARG00000002330
lhx8b,ENSDARG00000042145
lhx9,ENSDARG00000056979
nkx2.1,ENSDARG00000019835
nkx2.2a,ENSDARG00000053298
meis1b,ENSDARG00000012078
